ind,constrains,structura_decoding,neurological_decoding,fairseq,target,sd_nd_cosine,sd_re_cosine,sd_nd_diff
104,"[[""someon"", ""nsubj""], [""with"", ""obl""], [""migratory"", ""obl""], [""background"", ""obl""], [""society"", ""obl""], [""subjecen"", ""nsubj""], [""we"", ""nsubj""], [""to"", ""obj""], [""for"", ""obj""], [""us"", ""obj""], [""the"", ""nsubj""], [""basis"", ""obl""], [""to"", ""obl""], [""unite"", ""obl""], [""or"", ""obl""], [""combine"", ""obl""], [""sth"", ""obl""], [""integration"", ""nsubj""], [""to"", ""root""], [""say"", ""root""], [""sth"", ""root""], [""to"", ""root""], [""sb"", ""root""], [""www.biologie.uni-hamburg.de"", ""nsubj""]]
","""If one without a migrant background has a clear impact on society and football and says that ""the issue is important, we have to take care of it"", that would also be an initiative to provide a better basis for our local associations where integration must work,"" said Grindel.
","""If one without a migrant background has a clear impact on society and football and says that ""the issue is important, we have to take care of it"", that would also be an initiative to provide a better basis for our local associations where integration must work,"" said Grindel.
","""If someone without a migrant background has a significant impact on society and football and says"" the issue is important, we have to take care of it, ""that would also be an initiative to provide a better basis for our clubs on the ground, where integration has to work,"" Grindel said.
","If somebody without a migration background is an obvious influencer in society and football and says, ‘the issue is an important one, we need to do something about it’, ‘this would also be an initiative to provide a better foundation for our local teams, where integration needs to work’, Grindel said.
",1.0,0.6667506667510001,-0.33324933324899986
105,"[[""to"", ""root""], [""take"", ""root""], [""off"", ""root""], [""sth"", ""root""], [""scal"", ""obl""]]
","Take off correctly with a half-wise scale
","Properly decrease with half wise scale
","Lose weight correctly with semi-smart scales
","Losing weight the right way with semi-smart scales
",0.22360679774997896,0.0,-0.22360679774997896
106,"[[""self"", ""nsubj""], [""to"", ""root""], [""posse\u00df"", ""root""], [""or"", ""root""], [""own"", ""root""], [""or"", ""root""], [""have"", ""root""], [""and"", ""root""], [""to"", ""root""], [""hold"", ""root""], [""sth"", ""root""], [""week"", ""obl""], [""toy"", ""obj""]]
","I've owned a new toy for four weeks.
","I've had a new toy for four weeks.
","I have had a new toy for four weeks.
","I have owned a new toy for four weeks now.
",0.9354143466934853,0.9354143466934853,0.0
107,"[[""scal"", ""root""], [""the"", ""nsubj""], [""weigen"", ""obj""], [""no"", ""obj""], [""no"", ""obj""]]
","A scale that not only measures my weight, but also the body fat content.
","A scale that not only measures my weight, but also the body fat content.
","A scale that measures not only my weight, but also the percentage of body fat.
","Scales that weigh my body fat percentage as well as my weight.
",1.0,0.4472135954999579,-0.5527864045000421
108,"[[""muscl"", ""obj""], [""she"", ""nsubj""], [""to"", ""root""], [""report"", ""root""], [""sb"", ""root""], [""for"", ""root""], [""sth"", ""root""]]
","Also, muscle and bone mass can indicate it.
","It can also show muscle and bone mass.
","It can also indicate muscle and bone mass.
","Even muscle and bone mass can be displayed.
",0.5714285714285714,0.6172133998483676,0.04578482841979625
109,"[[""body"", ""obj""], [""to"", ""root""], [""calculate"", ""root""], [""or"", ""root""], [""compute"", ""root""], [""sth"", ""root""], [""thing"", ""nsubj""], [""the"", ""nsubj""]]
","The body mass index also calculates the thing, but it's more for the spice.
","The body mass index also calculates the thing, but it's more for the sausage.
","The thing also calculates the body mass index, but it's more for the sausages.
","This thing also calculates my body mass index but that is rather useless anyway.
",0.9090909090909091,0.6363636363636364,-0.2727272727272727
110,"[[""to"", ""root""], [""say"", ""root""], [""sth"", ""root""], [""to"", ""root""], [""sb"", ""root""], [""he"", ""nsubj""], [""not"", ""obj""], [""anything"", ""obj""], [""me"", ""nsubj""], [""fat"", ""obj""], [""muscl"", ""obl""]]
","He doesn't say anything about replacing fat with muscle.
","Doesn't he say I replaced fat with muscle?
","It doesn't say anything about whether I've replaced fat with muscle.
","After all, it does not tell me whether I have been replacing fat with muscle.
",0.5,0.47140452079103173,-0.028595479208968266
111,"[[""national"", ""root""], [""league"", ""root""]]
","Basketball Bundesliga: Clear opening successes for Berlin and Oldenburg
","Basketball Bundesliga: Clear opening successes for Berlin and Oldenburg
","Basketball Bundesliga: Clear opening successes for Berlin and Oldenburg
","Basketball Bundesliga: Clear success for Berlin and Oldenburg
",1.0,0.8017837257372732,-0.1982162742627268
112,"[[""victory"", ""obl""], [""attempt"", ""root""]]
","Berlin - ALBA Berlin started with a clear victory in the new season of the Bundesliga.
","Berlin - ALBA Berlin started with a clear victory in the new season of the Bundesliga.
","Berlin - ALBA Berlin has started the new season of the Basketball Bundesliga with a clear victory.
","Berlin - ALBA Berlin started the new German Basketball League season with a sound victory.
",1.0,0.7302967433402214,-0.26970325665977857
113,"[[""science"", ""obl""], [""fiction"", ""obl""], [""to"", ""root""], [""win"", ""root""], [""sth"", ""root""], [""in"", ""nsubj""], [""esgb.comdirect"", ""obl""], ["".de"", ""obl""], [""Minute"", ""obl""], [""area"", ""obj""]]
","Against Science City Jena, the vice champion easily won 112:55 (52:31) and offered a convincing match over 40 minutes.
","Against Science City Jena, the vice champion easily won 112:55 (52:31) and offered a convincing match over 40 minutes.
","Against Science City Jena the runner-up easily won with 112: 55 (52: 31) and offered a convincing game over 40 minutes.
","Against Science City Jena, the runner-up won easily with 112-55 (52-31) over 40 minutes in a very exciting game.
",1.0,0.6481812160876687,-0.35181878391233135
114,"[[""New"", ""nsubj""], [""entry"", ""nsubj""], [""www.power-horse.com"", ""root""]]
","New addition Rokas Giedraitis was the top scorer in Berlin with 20 points.
","New addition Rokas Giedraitis was the dominating Berliner with 20 points.
","Newcomer Rokas Giedraitis was the leading scorer with 20 points.
","New addition Rokas Giedraitis was the top scorer of the dominating Berlin team with 20 points.
",0.7378647873726218,0.9128709291752769,0.17500614180265506
115,"[[""national"", ""nsubj""], [""player"", ""nsubj""], [""to"", ""root""], [""show"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""spectator"", ""obl""], [""debut"", ""obl""], [""performance"", ""obj""]]
","The national player Johannes Thiemann (18 counter) from Ludwigsburg also showed an appealing performance in front of 9113 spectators at his official debut.
","The national player Johannes Thiemann (18 counter) from Ludwigsburg also showed an appealing performance in front of 9113 spectators at his official debut.
","The national team Johannes Thiemann (18 points), signed from Ludwigsburg, also showed an appealing performance in front of 9113 spectators on his mandatory debut.
","The international Johannes Thiemann from Ludwigsburg (18 points) also showed off his performance in front of 9113 spectators at his competitive debut.
",1.0,0.7905694150420948,-0.20943058495790523
116,"[[""mast"", ""nsubj""], [""craftsman"", ""nsubj""], [""to"", ""root""], [""be"", ""root""], [""the"", ""root""], [""victor"", ""root""], [""at"", ""root""], [""sth"", ""root""], [""in"", ""root""], [""sth"", ""root""], [""debut"", ""obl""], [""www.modelstudio.cz"", ""obl""], [""www.projectpq.de"", ""obl""]]
","Ex-master Brose Bamberg won with 84:80 (39:37) at S.
","Former champion Brose Bamberg won with 84:80 (39:37) at S.Oliver Würzburg.
","Former champion Brose Bamberg won the mandatory debut of coach Ainars Bagatskis with 84: 80 (39: 37) at s.Oliver Würzburg.
","Ex-champion Brose Bamberg won coach Ainars Bagatskis’ competitive debut with 84-80 (39-37) at s.Oliver Würzburg.
",0.7035264706814485,0.4166666666666667,-0.2868598040147818
117,"[[""www.giz.de"", ""nsubj""], [""thrower"", ""root""]]
","Augustine Rubit was the best thrower with 24 points.
","Augustine Rubit was the best thrower with 24 points.
","Augustine Rubit was the best thrower among the guests with 24 points.
","Augustine Rubit was the best scorer of the visitors with 24 points.
",1.0,0.8017837257372732,-0.1982162742627268
118,"[[""pro"", ""nsubj""], [""to"", ""root""], [""come"", ""root""], [""numerator"", ""obl""]]
","Würzburg professional Gabriel Olaseni came to 14 meters.
","Würzburg professional Gabriel Olaseni came on 14 counters.
","Würzburg professional Gabriel Olaseni finished with 14 points.
","Würzburg professional Gabriel Olaseni scored 14 points.
",0.875,0.75,-0.125
119,"[[""in"", ""nsubj""], [""to"", ""root""], [""defeat"", ""root""], [""sb"", ""root""], [""www.deutsches-klima-konsortium.de"", ""obj""], [""Frankfurt"", ""obl""], [""www.rlm.at"", ""obl""]]
","Last year's semi-finalist MHP Riesen Ludwigsburg defeated the Fraport Skyliners from Frankfurt with 83:76 (41:34).
","Last year's playoff semi-finalist MHP Riesen Ludwigsburg defeated the Fraport Skyliners from Frankfurt with 83:76.
","Last year's playoff semi-finalist MHP Giants Ludwigsburg defeated the Fraport Skyliners from Frankfurt 83: 76 (41: 34).
","Last year’s playoff semi-finalist MHP Riesen Ludwigsburg defeated the Fraport Skyliners from Frankfurt 83:76 (41:34).
",0.8685990362153793,0.9095085938862486,0.040909557670869345
120,"[[""national"", ""nsubj""], [""player"", ""nsubj""], [""member"", ""root""], [""of"", ""root""], [""shooting"", ""root""], [""or"", ""root""], [""riflen"", ""root""], [""club"", ""root""]]
","New national player Karim Jallow was best shot by coach John Patrick with 24 points.
","New national player Karim Jallow was best shot by coach John Patrick with 24 points.
","New international Karim Jallow was the most accurate shooter on coach John Patrick's team with 24 points.
","New international Karim Jallow was the most accurate thrower with 24 points in coach John Patrick’s team .
",1.0,0.667124384994991,-0.33287561500500895
121,"[[""European"", ""nsubj""], [""Currency"", ""nsubj""], [""Unit"", ""nsubj""], [""ECU"", ""nsubj""], [""to"", ""root""], [""Start"", ""root""], [""or"", ""root""], [""begin"", ""root""], [""sth"", ""root""], [""run"", ""obj""], [""success"", ""obl""]]
","The EWE Baskets Oldenburg began the new season with a clear success.
","The EWE Baskets Oldenburg started the new season with a clear success.
","The EWE Baskets Oldenburg started the new season with a clear success.
","The EWE Baskets Oldenburg began the new season successfully.
",0.9,0.8432740427115678,-0.056725957288432216
122,"[[""basketball"", ""obl""], [""to"", ""root""], [""give"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""www.schaper-bruemmer.de"", ""nsubj""]]
","The Basketball Löwen Braunschweig had a clear 100:64 (48:30) and the first two points.
","The Basketball Löwen Braunschweig had a clear 100:64 (48:30) and the first two points.
","In the Basketball Löwen Braunschweig there was a clear 100: 64 (48: 30) and the first two points.
","Basketball Löwen Braunschweig had a clear victory with 100:64 (48:30) and the first two points.
",1.0,0.9230769230769231,-0.07692307692307687
123,"[[""key"", ""nsubj""], [""play"", ""nsubj""], [""to"", ""root""], [""tower"", ""root""], [""above"", ""root""], [""or"", ""root""], [""over"", ""root""], [""sb"", ""root""], [""by"", ""root""], [""sth"", ""root""], [""Oldenburgern"", ""obl""], [""payer"", ""obl""]]
","The new gamemaker Will Cummings dominated the Oldenburgers with 25 points.
","The new gamemaker Will Cummings dominated the Oldenburgers with 25 points.
","New playmaker Will Cummings topped the table with 25 points.
","The new playmaker Will Cummings dominated the Oldenburg team with 25 points.
",1.0,0.7627700713964739,-0.2372299286035261
124,"[[""www.hotelamwollmarkt.de"", ""nsubj""], [""www.giz.de"", ""nsubj""], [""to"", ""root""], [""disappoint"", ""root""], [""sb"", ""root""], [""district"", ""obl""]]
","The Braunschweigers, where NBA star Dennis Schröder has been majority owner since the start of the season, disappointed after a good first quarter.
","The Braunschweigers, where NBA star Dennis Schröder has been majority owner since the start of the season, disappointed after a good first quarter.
","The Brunswick side, in which NBA star Dennis Schroeder has been the majority shareholder since the start of the season, disappointed after a good first quarter.
","The Braunschweig team, in which NBA star Dennis Schröder has been the majority owner since the season started, disappointed after a good first quarter.
",1.0,0.8574929257125442,-0.1425070742874558
125,"[[""run"", ""nsubj""], [""to"", ""root""], [""provide"", ""root""], [""for"", ""root""], [""sb"", ""root""], [""ratio"", ""obl""]]
","A 26:1 run of the Baskets quickly ensured clear conditions.
","A 26:1 run of the Baskets quickly ensured clear conditions.
","A 26-1 run by the baskets quickly settled the scores.
","A 26-1 run tells it all.
",1.0,0.4472135954999579,-0.5527864045000421
126,"[[""www.voltairenet.org"", ""nsubj""], [""open"", ""root""], [""ed"", ""root""], [""mosque"", ""obj""], [""Cologne"", ""obl""]]
","Erdoğan inaugurates mosque in Cologne
","Erdoğan opens mosque in Cologne
","Erdoğan opens mosque in Cologne
","Erdoğan opens mosque in Cologne
",0.75,0.75,0.0
127,"[[""president"", ""nsubj""], [""Saturday"", ""obl""], [""www.goethe.de"", ""obj""], [""open"", ""root""], [""ed"", ""root""]]
","Turkish President Recep Tayyip Erdoğan officially opened the Ditib Mosque in Cologne on Saturday.
","Turkish President Recep Tayyip Erdoğan officially opened the Ditib Mosque in Cologne on Saturday.
","Turkish President Recep Tayyip Erdoğan officially opened the Ditib Mosque in Cologne on Saturday.
","The Turkish President Recep Tayyip Erdoğan officially opened the Ditib mosque in Cologne on Saturday.
",1.0,0.8807048459279793,-0.11929515407202074
128,"[[""www.voltairenet.org"", ""nsubj""], [""oneself"", ""obj""], [""stat"", ""obl""], [""visit"", ""obl""], [""different"", ""obl""], [""chancellor"", ""obl""], [""to"", ""root""], [""run"", ""root""]]
","Erdoğan had previously met with Chancellor Angela Merkel and Federal President Frank-Walter Steinmeier during his three-day state visit.
","Erdoğan had previously met with Chancellor Angela Merkel and Federal President Frank-Walter Steinmeier during his three-day state visit.
","Erdoğan had previously met with German Chancellor Angela Merkel and Federal President Frank-Walter Steinmeier, among others, during his three-day state visit.
","During his three-day state visit, Erdoğan met with Chancellor Angela Merkel and Federal President Frank-Walter Steinmeier.
",1.0,0.8970852271450606,-0.10291477285493944
129,"[[""criticism"", ""root""], [""of"", ""root""], [""sb"", ""root""], [""sth"", ""root""]]
","Critics of Germany
","Criticism of Germany
","Criticism of Germany
","Criticism of Germany
",0.5,0.5,0.0
130,"[[""opening"", ""obl""], [""speech"", ""obl""], [""to"", ""root""], [""demand"", ""root""], [""sth"", ""root""], [""from"", ""root""], [""sb"", ""root""], [""www.voltairenet.org"", ""nsubj""], [""government"", ""obj""], [""Germany"", ""obl""], [""Trailer"", ""obj""], [""separatist"", ""obl""]]
","In his opening speech, Erdoğan called on the German government to extradite German supporters of the Gülen movement and take action against Kurdish separatists.
","In his opening speech, Erdoğan called on the German government to extradite German supporters of the Gülen movement and take action against Kurdish separatists.
","In his opening speech, Erdoğan called on the German government to extradite Gülen supporters living in Germany and to take action against Kurdish separatists.
","In his opening speech, Erdoğan called on the German government to extradite adherents of the Gülen movement living in Germany and to take action against Kurdish separatists.
",1.0,0.8902638145194516,-0.10973618548054842
131,"[[""we"", ""nsubj""], [""citiz"", ""obj""], [""to"", ""root""], [""protect"", ""root""], [""sb"", ""root""], [""against"", ""root""], [""or"", ""root""], [""from"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""she"", ""nsubj""]]
","We will protect our citizens wherever they live.
","We will protect our citizens wherever they live.
","We will protect our citizens, no matter where they live.
","We will protect our citizens wherever they live.
",1.0,1.0,0.0
132,"[[""we"", ""nsubj""], [""sympathiz"", ""nsubj""], [""citiz"", ""obj""], [""to"", ""root""], [""say"", ""root""], [""sth"", ""root""], [""to"", ""root""], [""sb"", ""root""], [""he"", ""nsubj""]]
","We will not allow Sympathizers of the PKK or Gülen movement to shake our citizens and harm German Turkish friendship,"" he said.
","We will not allow sympathizers of the PKK or Gülen movement to shake our citizens and harm German-Turkish friendship.""
","We will not allow PKK or Gülen sympathisers to shake our citizens and damage German-Turkish friendship, ""he said.
","We will not allow sympathizers of the PKK or Gülen movement to unsettle our citizens and damage the German/Turkish friendship’, he said.
",0.76271276980969,0.6454972243679028,-0.11721554544178725
133,"[[""opening"", ""obl""], [""blocked"", ""root""]]
","For the opening of the Ditib Mosque, Cologne city centre was partially closed.
","For the opening of the Ditib Mosque, Cologne city centre was partially closed.
","Cologne city centre was partially closed for the opening of the Ditib Mosque.
","Inner city Cologne was partially blocked for the opening of the Ditib mosque.
",1.0,0.6030226891555273,-0.39697731084447274
134,"[[""policeman"", ""nsubj""], [""masc"", ""nsubj""], [""marksman"", ""root""], [""masc"", ""root""]]
","Several thousand policemen were in action - including snipers.
","Several thousand policemen were in action - including snipers.
","Several thousand police were on duty - including snipers.
","Many thousands of police were deployed, including snipers.
",1.0,0.375,-0.625
135,"[[""Islamverband"", ""nsubj""], [""to"", ""root""], [""stehen"", ""root""], [""criticism"", ""obl""], [""of"", ""obl""], [""sb"", ""obl""], [""sth"", ""obl""], [""he"", ""nsubj""]]
","The Islamic Association Ditib is in criticism because it is regarded as an extended arm of the Turkish government.
","The Islam Association Ditib is critical because it is considered an extended arm of the Turkish government.
","The Ditib Islamic Association has come under criticism because it is seen as an extension of the Turkish government.
","The Ditib Islamic association is under criticism because it is seen as an extended arm of the Turkish government.
",0.7272727272727273,0.8181818181818182,0.09090909090909094
136,"[[""global"", ""root""]]
","""Global Citizen Festival"": Music vs.
","""Global Citizen Festival"": Music Against Poverty: Stars, Buhrufe and Scares
","""Global Citizen Festival"": Music Against Poverty: Stars, boos and moments of horror
","Global Citizen Festival: Music against poverty: Stars, boos and scary moments
",0.647150228929434,0.502518907629606,-0.14463132129982792
137,"[[""musician"", ""nsubj""], [""concerto"", ""obl""], [""commitment"", ""obl""], [""to"", ""obl""], [""to"", ""root""], [""recruit"", ""root""], [""sb"", ""root""], [""for"", ""root""], [""sth"", ""root""]]
","Musicians like Janet Jackson, John Legend, Shawn Mendes and Cardi B have promoted more commitment to fighting poverty and disease at a joint concert at Central Park in New York City.
","Musicians like Janet Jackson, John Legend, Shawn Mendes and Cardi B have promoted more engagement in the fight against poverty and disease at a joint concert in New York Central Park.
","Musicians including Janet Jackson, John Legend, Shawn Mendes and Cardi B have joined forces at a concert in New York's Central Park to call for greater engagement in the fight against poverty and disease.
","Musicians such as Janet Jackson, John Legend, Shawn Mendes and Cardi B campaigned for more engagement in the fight against poverty and illness at a collective concert in New York’s Central Park.
",0.893819357296686,0.7235680511449364,-0.17025130615174966
138,"[[""you"", ""nsubj""], [""to"", ""root""], [""say"", ""root""], [""sth"", ""root""], [""to"", ""root""], [""sb"", ""root""], [""www.giz.de"", ""nsubj""], [""festival"", ""obl""], [""Sunday"", ""obl""], [""spectator"", ""obl""]]
","""Commit wherever you can,"" Mendes said at the festival on Sunday night in front of around 60,000 spectators.
","""Commit wherever you can,"" Mendes said at the festival on Sunday night in front of around 60 000 spectators.
","""Get involved wherever you can,"" Mendes told a crowd of about 60,000 at the festival on Sunday night.
","Get involved wherever you can, said Mendes on Sunday evening at the festival in front of approximately 60,000 spectators.
",0.9036961141150639,0.6900655593423543,-0.21363055477270965
139,"[[""thank"", ""root""], [""you"", ""root""], [""your"", ""nsubj""], [""the"", ""nsubj""]]
","Thank you for coming here, it's a dream.
","Thank you for coming here, it's a dream.
","Thank you for coming here, it's a dream.
","Thank you for coming, this is a dream.
",1.0,0.9128709291752769,-0.0871290708247231
140,"[[""www.kettererkunst.de"", ""nsubj""], [""to"", ""root""], [""st"", ""root""], [""somewhere"", ""root""], [""outfit"", ""obl""], [""to"", ""obl""], [""fray"", ""obl""]]
","Cardi B performed in a red outfit with fringes and golden microphone.
","Cardi B appeared in a red outfit with fringes and golden microphone.
","Cardi B performed in a red outfit with fringe and gold microphone.
","Cardi B appeared in a red outfit with tassels and a gold microphone.
",0.8888888888888888,0.6666666666666666,-0.2222222222222222
141,"[[""self"", ""nsubj""], [""nervous"", ""root""], [""me"", ""nsubj""], [""it"", ""nsubj""], [""me"", ""nsubj""], [""the"", ""obj""], [""our"", ""obj""], [""world"", ""obj""]]
","I'm nervous, I sweat, but it's okay, 'cause I am here and ready to change the world.
","I'm nervous, I sweat, but it's okay because I am here ready to change the world.
","I'm nervous, I'm sweating, but it's okay because I'm here and I'm ready to change the world.
","I am nervous, I am sweating, but it’s OK because I’m here and ready to change the world.
",0.9574271077563381,0.6390096504226938,-0.31841745733364435
142,"[[""actor"", ""nsubj""], [""masc"", ""nsubj""], [""to"", ""root""], [""show"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""oneself"", ""obj""], [""racket"", ""obl""], [""no"", ""obl""], [""theatre"", ""obl""], [""or"", ""obl""]]
","Actors such as Hugh Jackman and Forest Whitaker as well as representatives of governments, the United Nations and relief organizations also appeared on stage during the multi-hour spectacle.
","Actors such as Hugh Jackman and Forest Whitaker as well as representatives of governments, the United Nations and relief organizations also showed up at the multi-hour spectacle.
","Actors Hugh Jackman and Forest Whitaker, as well as representatives of governments, the United Nations and aid agencies, also took to the stage for the multi-hour spectacle.
","Even actors such as Hugh Jackman and Forest Whitaker, government representatives, the United Nations and aid organizations appeared on the stage at the spectacle, which lasted for hours.
",0.9192547197409877,0.6842105263157895,-0.23504419342519822
143,"[[""to"", ""root""], [""give"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""moment"", ""nsubj""], [""of"", ""nsubj""], [""shock"", ""nsubj""], [""spectator"", ""nsubj""], [""sound"", ""obj""], [""fear"", ""obj""]]
","In between, however, there was a scare second, when many spectators thought that the sound of a falling metal barrier was gunshot, scared and tried to escape.
","In between, however, there was a scare second when many spectators thought the sound of a falling metal barrier was gunshot, scared and tried to escape.
","In between, however, there was a moment of shock, when many spectators mistook the sound of a metal barrier falling over for shots, became frightened and tried to flee.
","There was a scary moment when many spectators mistook the noise of a falling metal barrier for shots, got scared and tried to run away.
",1.0,0.5144957554275266,-0.48550424457247343
144,"[[""to"", ""root""], [""come"", ""root""], [""into"", ""root""], [""being"", ""root""], [""from"", ""root""], [""sth"", ""root""], [""panic"", ""nsubj""], [""no"", ""nsubj""], [""man"", ""nsubj""], [""no"", ""nsubj""], [""no"", ""nsubj""]]
","Panic came short, people ran into confusion.
","In short, panic arose, people ran into confusion.
","Shortly there was panic, people were running around.
","There was a short panic with people running in all directions.
",0.7071067811865476,0.4008918628686366,-0.306214918317911
145,"[[""to"", ""root""], [""say"", ""root""], [""sth"", ""root""], [""to"", ""root""], [""sb"", ""root""], [""organiz"", ""nsubj""]]
","Seven spectators were slightly injured, said organizer Hugh Evans.
","Seven spectators were slightly injured, said organizer Hugh Evans.
","Seven spectators were slightly injured, organiser Hugh Evans said.
","Seven spectators were slightly injured, said organizer Hugh Evans.
",1.0,1.0,0.0
146,"[[""the"", ""nsubj""], [""police"", ""nsubj""], [""to"", ""root""], [""reassure"", ""root""], [""or"", ""root""], [""comfort"", ""root""], [""sb"", ""root""], [""man"", ""obj""], [""no"", ""obj""], [""no"", ""obj""], [""theatre"", ""obl""], [""or"", ""obl""]]
","The New York police and musician Chris Martin calmed people down from the stage.
","The New York police and musician Chris Martin calmed people down from the stage.
","New York police and musician Chris Martin then calmed people down from the stage.
","The New York police and musician Chris Martin calmed the audience from the stage.
",1.0,0.9090909090909091,-0.09090909090909094
147,"[[""nobody"", ""nsubj""], [""someon"", ""obj""], [""to"", ""root""], [""say"", ""root""], [""sth"", ""root""], [""to"", ""root""], [""sb"", ""root""], [""police"", ""nsubj""], [""fire"", ""nsubj""], [""siren"", ""nsubj""]]
","""No one tries to hurt anyone,"" Martin said.
","""No one tries to hurt anyone,"" Martin said.
","""No one is trying to hurt anyone,"" Martin said.
","Nobody is trying to injure anyone, said Martin.
",1.0,0.5330017908890261,-0.4669982091109739
148,"[[""your"", ""nsubj""], [""his"", ""root""], [""to"", ""nsubj""], [""be"", ""nsubj""], [""all"", ""nsubj""], [""gon"", ""nsubj""], [""or"", ""nsubj""], [""finished"", ""nsubj""], [""safety"", ""obl""]]
","You're all safe.
","You're all safe.
","You are all safe.
","You are all safe.
",1.0,0.8660254037844387,-0.1339745962155613
149,"[[""Ticket"", ""nsubj""], [""to"", ""root""], [""give"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""year"", ""obl""], [""internet"", ""obl""]]
","Tickets for the ""Global Citizen Festival"" concert were free of charge on the Internet as every year.
","Tickets for the ""Global Citizen Festival"" concert were available free of charge on the Internet.
","As every year, tickets for the ""Global Citizen Festival"" concert were available for free on the Internet.
","As every year, tickets for the ""Global Citizen Festival"" concert were available free of charge online.
",0.8807048459279793,0.76271276980969,-0.11799207611828921
150,"[[""who"", ""nsubj""], [""'"", ""obj""], [""internet"", ""obl""], [""to"", ""obj""], [""write"", ""obj""], [""sth"", ""obj""], [""battl"", ""obl""], [""to"", ""root""], [""read"", ""root""], [""sth"", ""root""]]
","Those who wanted to get one had to read and spread texts, photos and videos about the global fight against poverty and diseases on the internet.
","Those who wanted to get one had to read and spread texts, photos and videos on the global fight against poverty and diseases.
","If you wanted to get one, you had to read and distribute texts, photos and videos about the global fight against poverty and diseases on the Internet.
","If you wanted to get one, you had to read and share texts, photos and videos about the global fight against poverty and diseases online.
",0.9682458365518541,0.8125,-0.15574583655185414
151,"[[""musician"", ""obl""], [""to"", ""root""], [""give"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""audience"", ""obl""], [""cheering"", ""obj""], [""no"", ""obj""], [""Senator"", ""obl""]]
","For the numerous musicians and actors there was cheer and applause from the audience - shouts for Republican Senator Jeff Flake.
","For the numerous musicians and actors there were cheers and applause from the audience - shouts for Republican Senator Jeff Flake.
","There were cheers and applause from the audience for the numerous musicians and actors - but boos for Republican Senator Jeff Flake.
","For the numerous musicians and actors there were cheers and applause from the audience - by contrast, Republican Senator Jeff Flake was booed.
",0.9285714285714286,0.8017837257372732,-0.1267877028341554
152,"[[""this"", ""nsubj""], [""one"", ""nsubj""], [""to"", ""root""], [""Speak"", ""root""], [""oneself"", ""obj""], [""colleague"", ""obl""], [""theatre"", ""obl""], [""or"", ""obl""]]
","Although he spoke together with his democratic colleague Chris Coons on the stage for more equality between men and women.
","He spoke together with his democratic colleague Chris Coons on the stage to promote gender equality.
","He spoke on stage with his Democratic colleague Chris Coons for more equality between men and women.
","Flake did join his Democratic colleague Chris Coons on the stage in calling for more equal rights between men and women.
",0.75,0.560448538317805,-0.18955146168219505
153,"[[""Friday"", ""obl""], [""oneself"", ""obj""], [""www.mountainforce.com"", ""nsubj""], [""mandelbaum.at"", ""obl""], [""nomination"", ""obl""], [""judg"", ""obl""], [""www.schwalbe.com"", ""obl""], [""distinct"", ""root""], [""one"", ""obj""], [""feminist"", ""obj""], [""alternativ"", ""obj""], [""to"", ""obj""], [""the"", ""obj""], [""German"", ""obj""], [""masculine"", ""obj""], [""form"", ""obj""], [""man"", ""obj""], [""head"", ""obl""]]
","On Friday, however, Flake in the U.
","On Friday, however, Flake spoke out for the nomination of Brett Kavanaugh as a judge at the Supreme Court in the U.S. Senate's Judicial Committee.
","But on Friday, Flake spoke out in support of Brett Kavanaugh's nomination to the Supreme Court by the US Senate Judiciary Committee, angering many women.
","On Friday, however, Flake had spoken in the Judiciary Committee of the US Senate supporting the nomination of Brett Kavanaugh as a judge on the Supreme Court, which offended many women.
",0.5345224838248488,0.4948716593053935,-0.039650824519455286
154,"[[""one"", ""nsubj""], [""feminist"", ""nsubj""], [""alternativ"", ""nsubj""], [""to"", ""nsubj""], [""the"", ""nsubj""], [""German"", ""nsubj""], [""masculine"", ""nsubj""], [""form"", ""nsubj""], [""man"", ""nsubj""], [""Missbrauchsvorw\u00fcrfe"", ""obj""], [""rape"", ""obl""], [""to"", ""root""], [""raise"", ""root""], [""sth"", ""root""], [""the"", ""obj""], [""this"", ""nsubj""], [""one"", ""nsubj""]]
","At least three women have filed abuse charges up to the attempted rape against Kavanaugh, which he rejects.
","At least three women have charged abuse all the way to attempted rape against Kavanaugh who rejects it.
","At least three women have made allegations of abuse, including attempted rape, against Kavanaugh, which he denies.
","At least three women made abuse allegations, including some of attempted rape against Kavanaugh, who rejects these.
",0.8006407690254357,0.8153742483272113,0.014733479301775598
